[ID],Year,Institution,state,Tot Lic/Opt Exe,St-Ups Formed,Gross Lic Inc
96017,2000,Loyola University Medical Center,IL,3,0,"$246,055 "
95127,2000,Northwestern University,IL,16,2,"$1,091,782 "
95161,2000,Southern Illinois Univ./Carbondale,IL,6,0,"$60,300 "
95190,2000,Univ. of Chicago-ARCH Dev. Corp.,IL,9,2,"$2,537,140 "
95202,2000,Univ. of Illinois/Chicago & Urbana Ch.,IL,78,5,"$5,386,195 "
96017,2001,Loyola University Medical Center,IL,0,0,"$96,294 "
95126,2001,Northern Illinois University,IL,4,4,"$40,000 "
95127,2001,Northwestern University,IL,20,4,"$1,072,486 "
95161,2001,Southern Illinois Univ.,IL,4,1,"$108,630 "
95190,2001,Univ. of Chicago (UCTech),IL,16,0,"$4,361,953 "
95202,2001,Univ. of Illinois at Chicago Urbana & Champaign,IL,63,6,"$9,451,228 "
95127,2002,Northwestern Univ.,IL,12,5,"$1,256,013 "
95161,2002,Southern Illinois Univ.,IL,4,1,"$132,804 "
95190,2002,Univ. of Chicago/UCTech,IL,32,2,"$3,147,715 "
95202,2002,Univ. of Illinois Chicago Urbana,IL,70,12,"$8,530,660 "
95127,2003,Northwestern Univ.,IL,17,2,"$1,204,767 "
95161,2003,Southern Illinois Univ.,IL,6,1,"$157,726 "
95190,2003,Univ. of Chicago/UCTech,IL,21,0,"$4,336,622 "
95202,2003,Univ. of Illinois Chicago Urbana,IL,86,6,"$7,700,876 "
96017,2004,Loyola Univ. Medical Ctr.,IL,0,,"$500,000 "
95127,2004,Northwestern Univ.,IL,21,1,"$1,523,391 "
95161,2004,Southern Illinois Univ.,IL,4,0,"$224,535 "
95190,2004,Univ. of Chicago/UCTech,IL,26,0,"$8,936,430 "
95202,2004,Univ. of Illinois Chicago Urbana,IL,88,16,"$5,793,914 "
95127,2005,Northwestern Univ.,IL,21,6,"$4,019,199 "
95190,2005,Univ. of Chicago/UCTech,IL,16,0,"$6,903,271 "
95202,2005,Univ. of Illinois Chicago Urbana,IL,63,7,"$7,115,689 "
95127,2006,Northwestern Univ.,IL,21,6,"$29,990,550 "
95161,2006,Southern Illinois Univ.,IL,4,1,"$354,045 "
95190,2006,Univ. of Chicago/UCTech,IL,24,2,"$8,851,413 "
95202,2006,Univ. of Illinois Chicago Urbana,IL,80,9,"$10,222,735 "
95127,2007,Northwestern Univ.,IL,35,10,"$85,298,599 "
20000016,2007,RUSH-Presbyterian-St. Luke's Medical Ctr,IL,4,1,"$127,903 "
95161,2007,Southern Illinois Univ.,IL,6,1,"$524,584 "
95190,2007,Univ. of Chicago/UCTech,IL,28,0,"$15,069,427 "
95202,2007,Univ. of Illinois Chicago Urbana,IL,52,8,"$8,071,912 "
95127,2008,Northwestern Univ.,IL,28,4,"$824,426,230 "
20000016,2008,RUSH-Presbyterian-St. Luke's Medical Ctr,IL,5,2,"$96,008 "
95190,2008,Univ. of Chicago/UCTech,IL,22,0,"$8,623,473 "
95202,2008,Univ. of Illinois Chicago Urbana,IL,66,11,"$7,547,408 "
96017,2009,Loyola University of Chicago,IL,0,0,"$5,772,000 "
20010270,2009,Northern Illinois University,IL,0,0,"$19,500 "
95127,2009,Northwestern Univ.,IL,31,3,"$161,591,544 "
20000016,2009,RUSH-Presbyterian-St. Luke's Medical Ctr,IL,4,1,"$235,354 "
95190,2009,Univ. of Chicago/UCTech,IL,16,0,"$9,025,392 "
95202,2009,Univ. of Illinois Chicago Urbana,IL,49,8,"$13,364,056 "
96017,2010,Loyola University of Chicago,IL,2,0,"$3,737,075 "
20010270,2010,Northern Illinois University,IL,0,0,"$10,378 "
95127,2010,Northwestern Univ.,IL,32,6,"$179,835,148 "
20000016,2010,RUSH-Presbyterian-St. Luke's Medical Ctr,IL,2,0,"$1,021,150 "
95190,2010,Univ. of Chicago/UCTech,IL,33,3,"$9,072,022 "
95202,2010,Univ. of Illinois Chicago Urbana,IL,61,8,"$13,471,311 "
96017,2011,Loyola University of Chicago,IL,0,0,"$4,571,145 "
20010270,2011,Northern Illinois University,IL,0,0,"$30,373 "
95127,2011,Northwestern Univ.,IL,47,8,"$191,541,162 "
20000016,2011,RUSH-Presbyterian-St. Luke's Medical Ctr,IL,4,0,"$4,003,069 "
95161,2011,Southern Illinois Univ.,IL,5,,"$677,204 "
95190,2011,Univ. of Chicago/UCTech,IL,32,3,"$8,673,127 "
95202,2011,Univ. of Illinois Chicago Urbana,IL,100,21,"$17,424,376 "
96017,2012,Loyola University of Chicago,IL,1,0,"$7,107,004 "
20010270,2012,Northern Illinois University,IL,0,0,"$15,872 "
95127,2012,Northwestern Univ.,IL,45,5,"$122,198,183 "
20000016,2012,Rush University Medical Center,IL,2,0,"$5,510,591 "
95161,2012,Southern Illinois Univ.,IL,0,0,"$710,882 "
95190,2012,Univ. of Chicago/UCTech,IL,24,5,"$8,635,381 "
95202,2012,Univ. of Illinois Chicago Urbana,IL,90,12,"$21,398,517 "
96017,2013,Loyola University of Chicago,IL,0,0,"$3,110,821 "
20010270,2013,Northern Illinois University,IL,1,0,"$23,729 "
95127,2013,Northwestern Univ.,IL,44,11,"$257,323,804 "
95190,2013,Univ. of Chicago/UCTech,IL,14,3,"$6,702,681 "
95202,2013,Univ. of Illinois Chicago Urbana,IL,96,11,"$24,178,517 "
95008,1991,Ball State University,IN,1,,"$56,300 "
95082,1991,Indiana University,IN,5,,"$103,000 "
95008,1992,Ball State University,IN,1,,"$52,800 "
95082,1992,Indiana University,IN,16,,"$112,000 "
95082,1993,Indiana University,IN,18,,"$208,000 "
95008,1994,Ball State University,IN,2,0,"$67,762 "
95082,1994,Indiana University,IN,20,2,"$667,000 "
95139,1994,Purdue Research Foundation,IN,43,4,"$1,050,000 "
95008,1995,Ball State University,IN,2,0,"$47,879 "
95082,1995,Indiana University,IN,25,1,"$729,000 "
95139,1995,Purdue Research Foundation,IN,38,2,"$1,212,758 "
95008,1996,Ball State University,IN,2,0,"$101,660 "
95082,1996,Indiana University,IN,18,1,"$179,000 "
95139,1996,Purdue Research Foundation,IN,57,3,"$1,210,000 "
95008,1997,Ball State University,IN,0,0,"$139,880 "
95082,1997,Indiana University (ARTI),IN,27,1,"$455,652 "
95139,1997,Purdue Research Foundation,IN,52,2,"$1,780,000 "
95082,1998,Indiana University (ARTI),IN,25,1,"$1,007,882 "
95139,1998,Purdue Research Foundation,IN,28,4,"$1,210,000 "
95082,1999,Indiana University (ARTI),IN,14,1,"$1,040,630 "
95139,1999,Purdue Research Foundation,IN,76,4,"$2,375,000 "
95082,2000,Indiana University (ARTI),IN,16,1,"$2,727,324 "
95139,2000,Purdue Research Foundation,IN,76,5,"$1,630,000 "
95008,2001,Ball State University,IN,3,0,"$164,330 "
95082,2001,Indiana University (ARTI),IN,10,1,"$3,232,603 "
95139,2001,Purdue Research Foundation,IN,73,10,"$2,430,000 "
95082,2002,Indiana Univ. (ARTI),IN,42,3,"$3,847,212 "
96033,2002,Univ. of Notre Dame,IN,4,0,"$207,500 "
95082,2003,Indiana Univ. (ARTI),IN,19,4,"$5,470,642 "
95139,2003,Purdue Research Fdn.,IN,80,3,"$4,440,000 "
96033,2003,Univ. of Notre Dame,IN,7,0,"$304,000 "
95008,2004,Ball State Univ.,IN,3,0,"$213,414 "
95082,2004,Indiana Univ. (ARTI),IN,18,3,"$8,625,808 "
95139,2004,Purdue Research Fdn.,IN,87,3,"$4,258,802 "
96033,2004,Univ. of Notre Dame,IN,1,4,"$165,000 "
95008,2005,Ball State Univ.,IN,5,1,"$132,598 "
95082,2005,Indiana Univ. (ARTI),IN,11,2,"$4,628,918 "
95139,2005,Purdue Research Fdn.,IN,79,6,"$4,158,682 "
96033,2005,Univ. of Notre Dame,IN,5,1,"$116,250 "
95008,2006,Ball State Univ.,IN,2,1,"$244,719 "
95082,2006,Indiana Univ. (ARTI),IN,53,2,"$6,726,733 "
95139,2006,Purdue Research Fdn.,IN,110,14,"$3,823,581 "
95082,2007,Indiana Univ. (ARTI),IN,51,5,"$4,635,631 "
95139,2007,Purdue Research Fdn.,IN,99,8,"$5,079,662 "
96033,2007,Univ. of Notre Dame,IN,3,0,"$84,059 "
95008,2008,Ball State Univ.,IN,3,1,"$112,443 "
95082,2008,Indiana Univ. (ARTI),IN,31,2,"$4,960,554 "
95139,2008,Purdue Research Fdn.,IN,82,11,"$3,411,728 "
96033,2008,Univ. of Notre Dame,IN,6,0,"$259,990 "
95008,2009,Ball State Univ.,IN,2,0,"$146,537 "
95082,2009,Indiana Univ. (ARTI),IN,30,6,"$5,952,499 "
95139,2009,Purdue Research Fdn.,IN,85,10,"$4,201,112 "
96033,2009,Univ. of Notre Dame,IN,6,2,"$91,580 "
95082,2010,Indiana Univ. (ARTI),IN,27,4,"$14,126,964 "
95139,2010,Purdue Research Fdn.,IN,99,11,"$3,931,628 "
96033,2010,Univ. of Notre Dame,IN,8,2,"$338,161 "
95082,2011,Indiana Univ. (ARTI),IN,39,7,"$11,125,616 "
95139,2011,Purdue Research Fdn.,IN,64,7,"$5,836,669 "
96033,2011,Univ. of Notre Dame,IN,6,1,"$559,262 "
95008,2012,Ball State Univ.,IN,0,0,$0 
95082,2012,Indiana Univ. (ARTI),IN,38,13,"$7,102,376 "
95139,2012,Purdue Research Fdn.,IN,77,5,"$4,855,772 "
96033,2012,Univ. of Notre Dame,IN,11,4,"$225,900 "
95008,2013,Ball State Univ.,IN,0,0,$0 
95082,2013,Indiana Univ. Res. & Technology Corp.(IURTC),IN,35,16,"$5,940,530 "
95139,2013,Purdue Research Fdn.,IN,87,8,"$6,305,827 "
96033,2013,Univ. of Notre Dame,IN,6,1,"$137,404 "
95089,1993,Kansas State University Research Fndtn.,KS,7,,"$219,993 "
95205,1993,Univ. of Kansas,KS,8,,"$26,395 "
95089,1994,Kansas State University Research Fndtn.,KS,11,0,"$276,563 "
95205,1994,Univ. of Kansas,KS,8,2,"$96,226 "
95089,1995,Kansas State University Research Fndtn.,KS,10,1,"$339,195 "
95205,1995,Univ. of Kansas,KS,20,3,"$56,761 "
95089,1996,Kansas State University Research Fndtn.,KS,6,0,"$363,911 "
95205,1996,Univ. of Kansas,KS,12,4,"$285,167 "
95089,1997,Kansas State University Research Fndtn.,KS,5,0,"$271,094 "
95205,1997,Univ. of Kansas,KS,7,1,"$721,177 "
95089,1998,Kansas State University Research Fndtn.,KS,7,0,"$218,290 "
95205,1998,Univ. of Kansas,KS,5,1,"$571,476 "
95089,1999,Kansas State University Research Fndtn.,KS,7,2,"$277,563 "
95205,1999,Univ. of Kansas,KS,7,1,"$895,000 "
95089,2000,Kansas State University Research Fndtn.,KS,8,2,"$297,536 "
95205,2000,Univ. of Kansas,KS,4,0,"$804,000 "
95089,2001,Kansas State University Research Fdn.,KS,7,2,"$436,817 "
95205,2001,Univ. of Kansas,KS,6,4,"$842,629 "
95089,2002,Kansas State Univ. Research Fdn.,KS,3,0,"$564,714 "
95205,2002,Univ. of Kansas,KS,10,2,"$1,548,070 "
95089,2003,Kansas State Univ. Research Fdn.,KS,5,0,"$552,385 "
95205,2003,Univ. of Kansas,KS,6,4,"$1,000,838 "
95283,2003,Univ. of Kansas Medical Center,KS,0,0,"$1,444,022 "
95089,2004,Kansas State Univ. Research Fdn.,KS,13,0,"$1,073,411 "
95205,2004,Univ. of Kansas,KS,6,1,"$501,431 "
95283,2004,Univ. of Kansas Medical Center,KS,5,0,"$110,680 "
95089,2005,Kansas State Univ. Research Fdn.,KS,6,0,"$828,460 "
95205,2005,Univ. of Kansas,KS,6,0,"$5,181,192 "
95283,2005,Univ. of Kansas Medical Center,KS,2,0,"$219,031 "
95089,2006,Kansas State Univ. Research Fdn.,KS,5,0,"$1,322,282 "
95205,2006,Univ. of Kansas,KS,9,0,"$231,111 "
95283,2006,Univ. of Kansas Medical Center,KS,5,0,"$108,272 "
95089,2007,Kansas State Univ. Research Fdn.,KS,12,1,"$1,426,863 "
95205,2007,Univ. of Kansas,KS,11,3,"$503,880 "
95089,2008,Kansas State Univ. Research Fdn.,KS,10,3,"$1,550,106 "
95205,2008,Univ. of Kansas,KS,10,2,"$1,100,168 "
95089,2009,Kansas State Univ. Research Fdn.,KS,6,0,"$1,509,490 "
95205,2009,Univ. of Kansas,KS,14,2,"$1,406,616 "
95089,2010,Kansas State Univ. Research Fdn.,KS,4,0,"$1,468,592 "
95205,2010,Univ. of Kansas,KS,7,0,"$954,613 "
95089,2011,Kansas State Univ. Research Fdn.,KS,6,0,"$1,562,758 "
95205,2011,Univ. of Kansas,KS,9,4,"$836,407 "
95089,2012,Kansas State Univ. Research Fdn.,KS,11,0,"$1,596,200 "
95205,2012,Univ. of Kansas,KS,8,2,"$9,849,481 "
95089,2013,Kansas State Univ. Research Fdn.,KS,15,3,"$2,266,808 "
95205,2013,Univ. of Kansas,KS,14,2,"$11,691,537 "
95206,1993,Univ. of Kentucky Research Fndtn,KY,11,,"$891,084 "
95207,1993,Univ. of Louisville Research Fndtn.,KY,,,"$5,348 "
95206,1994,Univ. of Kentucky Research Fndtn,KY,18,1,"$1,153,144 "
95206,1995,Univ. of Kentucky Research Fndtn,KY,14,1,"$1,153,144 "
95206,1996,Univ. of Kentucky Research Fndtn.,KY,2,0,"$1,885,765 "
95206,1997,Univ. of Kentucky Research Fndtn.,KY,6,0,"$2,570,482 "
95207,1997,Univ. of Louisville,KY,0,0,"$29,928 "
95206,1998,Univ. of Kentucky Research Fndtn.,KY,11,3,"$2,361,958 "
95207,1998,Univ. of Louisville,KY,6,1,"$91,320 "
95206,1999,Univ. of Kentucky Research Fndtn.,KY,9,2,"$2,496,786 "
95207,1999,Univ. of Louisville,KY,3,1,"$48,632 "
95206,2000,Univ. of Kentucky Research Fndtn.,KY,12,6,"$2,679,810 "
95207,2000,Univ. of Louisville,KY,4,0,"$53,929 "
95206,2001,Univ. of Kentucky Research Fdn.,KY,12,3,"$2,294,100 "
95207,2001,Univ. of Louisville,KY,4,3,"$37,771 "
95206,2002,Univ. of Kentucky Research Fdn.,KY,11,3,"$1,500,000 "
95207,2002,Univ. of Louisville,KY,4,2,"$37,426 "
99019,2002,Western Kentucky Univ.,KY,2,0,"$8,000 "
95206,2003,Univ. of Kentucky Research Fdn.,KY,11,1,"$742,882 "
95207,2003,Univ. of Louisville,KY,6,1,"$30,406 "
99019,2003,Western Kentucky Univ.,KY,2,0,"$8,000 "
95206,2004,Univ. of Kentucky Research Fdn.,KY,11,5,"$762,530 "
95207,2004,Univ. of Louisville,KY,4,1,"$98,841 "
99019,2004,Western Kentucky Univ.,KY,3,,"$8,904 "
95206,2005,Univ. of Kentucky Research Fdn.,KY,13,4,"$856,260 "
95207,2005,Univ. of Louisville,KY,8,3,"$80,924 "
99019,2005,Western Kentucky Univ.,KY,2,0,"$45,433 "
95206,2006,Univ. of Kentucky Research Fdn.,KY,18,4,"$905,895 "
95207,2006,Univ. of Louisville,KY,8,3,"$50,652 "
95206,2007,Univ. of Kentucky Research Fdn.,KY,20,10,"$1,802,905 "
95207,2007,Univ. of Louisville,KY,7,3,"$87,629 "
95206,2008,Univ. of Kentucky Research Fdn.,KY,19,8,"$1,200,000 "
95207,2008,Univ. of Louisville,KY,11,3,"$142,321 "
95206,2009,Univ. of Kentucky Research Fdn.,KY,19,14,"$1,700,000 "
95207,2009,Univ. of Louisville,KY,12,5,"$437,410 "
95206,2010,Univ. of Kentucky Research Fdn.,KY,9,6,"$2,161,743 "
95207,2010,Univ. of Louisville,KY,6,,"$157,439 "
95206,2011,Univ. of Kentucky Research Fdn.,KY,8,7,"$1,544,664 "
95207,2011,Univ. of Louisville,KY,13,,"$154,809 "
95206,2012,Univ. of Kentucky Research Fdn.,KY,9,6,"$1,628,264 "
20080266,2013,Louisiana Tech University,KY,3,1,"$225,842 "
95206,2013,Univ. of Kentucky Research Fdn.,KY,9,3,"$4,800,000 "
95207,2013,Univ. of Louisville,KY,27,,"$208,645 "
95176,1991,Tulane University,LA,3,,"$4,200,000 "
95176,1992,Tulane University,LA,5,,"$2,800,000 "
95093,1993,Louisiana State University,LA,3,,"$173,578 "
95176,1993,Tulane University,LA,10,,"$3,721,275 "
95229,1993,Univ. of New Orleans,LA,2,,"$20,000 "
95093,1994,Louisiana State University,LA,6,1,"$254,752 "
95176,1994,Tulane University,LA,7,1,"$3,816,851 "
95229,1994,Univ. of New Orleans,LA,1,0,"$4,000 "
95093,1995,Louisiana State University,LA,6,2,"$508,935 "
95176,1995,Tulane University,LA,5,0,"$4,904,824 "
95229,1995,Univ. of New Orleans,LA,1,0,"$20,000 "
95093,1996,Louisiana State University,LA,7,3,"$609,435 "
95176,1996,Tulane University,LA,5,1,"$5,323,873 "
95229,1996,Univ. of New Orleans,LA,1,0,"$21,000 "
95176,1997,Tulane University,LA,10,0,"$6,640,800 "
95229,1997,Univ. of New Orleans,LA,0,0,"$13,000 "
95093,1998,Louisiana State University,LA,3,1,"$468,174 "
95176,1998,Tulane University,LA,9,0,"$6,633,181 "
95229,1998,Univ. of New Orleans,LA,1,0,"$32,159 "
96016,1999,Louisiana State University Agric. Ctr.,LA,7,1,"$1,091,787 "
95176,1999,Tulane University,LA,9,0,"$7,652,483 "
95229,1999,Univ. of New Orleans,LA,1,0,"$13,770 "
95093,2000,Louisiana State University,LA,6,1,"$382,528 "
96016,2000,Louisiana State University Agric. Ctr.,LA,4,1,"$914,115 "
95176,2000,Tulane University,LA,6,0,"$6,856,436 "
95093,2001,Louisiana State University  and Agricultural and Mechanical College,LA,4,2,"$3,132,396 "
96016,2001,Louisiana State University Agricultural Center,LA,3,2,"$869,902 "
95176,2001,Tulane University,LA,8,1,"$5,019,445 "
96016,2002,Louisiana State Univ. Agricultural Ctr.,LA,6,0,"$1,447,784 "
95176,2002,Tulane Univ.,LA,6,0,"$11,667,803 "
96016,2003,Louisiana State Univ. Agricultural Ctr.,LA,7,3,"$1,029,287 "
96015,2003,Louisiana State Univ. Health Sciences Center-New Orleans,LA,,1, 
95176,2003,Tulane Univ.,LA,4,0,"$10,917,388 "
96016,2004,Louisiana State Univ. Agricultural Ctr.,LA,0,0,"$1,746,909 "
96015,2004,Louisiana State Univ. Health Sciences Center-New Orleans,LA,2,1,"$71,433 "
95176,2004,Tulane Univ.,LA,5,0,"$6,070,070 "
96016,2005,Louisiana State Univ. Agricultural Ctr.,LA,2,0,"$4,332,303 "
96015,2005,Louisiana State Univ. Health Sciences Center-New Orleans,LA,,,"$194,781 "
95176,2005,Tulane Univ.,LA,3,0,"$8,554,959 "
95093,2006,Louisiana State University System,LA,13,4,"$5,565,255 "
95176,2006,Tulane Univ.,LA,1,0,"$6,763,692 "
95093,2007,Louisiana State University System,LA,19,2,"$4,872,555 "
20080266,2007,Louisiana Tech University,LA,5,2,"$70,700 "
95176,2007,Tulane Univ.,LA,0,0,"$6,686,473 "
95093,2008,Louisiana State University System,LA,12,2,"$2,865,003 "
20080266,2008,Louisiana Tech University,LA,9,1,"$55,600 "
95176,2008,Tulane Univ.,LA,2,1,"$5,492,028 "
95093,2009,Louisiana State University System,LA,17,6,"$6,349,177 "
20080266,2009,Louisiana Tech University,LA,4,1,"$176,800 "
95176,2009,Tulane Univ.,LA,2,0,"$9,366,708 "
95093,2010,Louisiana State University System,LA,26,5,"$9,575,115 "
20080266,2010,Louisiana Tech University,LA,2,1,"$33,500 "
95176,2010,Tulane Univ.,LA,2,0,"$6,708,767 "
95093,2011,Louisiana State University System,LA,33,4,"$11,620,443 "
20080266,2011,Louisiana Tech University,LA,2,0,"$31,500 "
95176,2011,Tulane Univ.,LA,6,3,"$3,208,650 "
95093,2012,Louisiana State University System,LA,19,3,"$10,322,805 "
20080266,2012,Louisiana Tech University,LA,5,1,"$31,500 "
95176,2012,Tulane Univ.,LA,8,4,"$10,629,051 "
95093,2013,Louisiana State University System,LA,24,3,"$10,148,412 "
95176,2013,Tulane Univ.,LA,9,4,"$3,836,253 "
95052,1991,Dana-Farber Cancer Institute,MA,3,,"$2,164,856 "
95070,1991,Harvard University,MA,38,,"$2,300,000 "
95096,1991,Massachusetts General Hospital,MA,20,,"$866,965 "
95097,1991,Massachusetts Inst. of Technology (MIT),MA,70,,"$3,680,000 "
95115,1991,New England Medical Center,MA,5,,"$156,000 "
95214,1991,Univ. of Massachusetts/Amherst,MA,0,,$900 
95052,1992,Dana-Farber Cancer Institute,MA,11,,"$2,789,561 "
95070,1992,Harvard University,MA,55,,"$3,200,000 "
95096,1992,Massachusetts General Hospital,MA,55,,"$1,316,350 "
95097,1992,Massachusetts Inst. of Technology (MIT),MA,78,,"$11,680,000 "
95115,1992,New England Medical Center,MA,1,,"$210,000 "
95214,1992,Univ. of Massachusetts/Amherst,MA,0,,$900 
95016,1993,Brandeis University,MA,9,,"$100,000 "
95017,1993,Brigham & Women's Hospital,MA,22,,"$1,331,351 "
95034,1993,Children's Hospital Boston,MA,7,,"$1,290,000 "
95052,1993,Dana-Farber Cancer Institute,MA,19,,"$2,847,172 "
95070,1993,Harvard University,MA,53,,"$5,430,000 "
95096,1993,Massachusetts General Hospital,MA,35,,"$1,125,498 "
95097,1993,Massachusetts Inst. of Technology (MIT),MA,71,,"$5,808,000 "
95114,1993,New England Deaconess Hospital,MA,0,,"$62,259 "
95115,1993,New England Medical Center,MA,8,,"$393,000 "
95125,1993,Northeastern University,MA,9,,"$60,000 "
95213,1993,Univ. of Massachusetts Medical Center,MA,3,,"$168,179 "
95214,1993,Univ. of Massachusetts/Amherst,MA,30,,"$2,700 "
95280,1993,Woods Hole Oceanographic Inst.,MA,4,,"$15,000 "
95016,1994,Brandeis University,MA,8,0,"$110,000 "
95017,1994,Brigham & Women's Hospital,MA,23,1,"$4,068,103 "
95034,1994,Children's Hospital Boston,MA,12,3,"$830,497 "
95052,1994,Dana-Farber Cancer Institute,MA,10,1,"$3,159,952 "
95070,1994,Harvard University,MA,68,4,"$5,817,671 "
95096,1994,Massachusetts General Hospital,MA,16,0,"$984,356 "
95097,1994,Massachusetts Inst. of Technology (MIT),MA,74,22,"$4,560,000 "
95115,1994,New England Medical Center,MA,16,0,"$357,000 "
95125,1994,Northeastern University,MA,1,1,"$52,500 "
95175,1994,Tufts University,MA,7,1,"$98,863 "
95213,1994,Univ. of Massachusetts Medical Center,MA,1,1,"$117,753 "
95214,1994,Univ. of Massachusetts/Amherst,MA,24,0,"$62,525 "
95280,1994,Woods Hole Oceanographic Inst.,MA,1,1,"$76,000 "
95014,1995,Boston University,MA,9,2,"$3,260,180 "
95016,1995,Brandeis University,MA,2,0,"$120,000 "
95017,1995,Brigham & Women's Hospital,MA,18,1,"$5,500,000 "
95034,1995,Children's Hospital Boston,MA,11,2,"$939,442 "
95052,1995,Dana-Farber Cancer Institute,MA,19,2,"$3,050,000 "
95070,1995,Harvard University,MA,55,3,"$6,826,073 "
95096,1995,Massachusetts General Hospital,MA,35,1,"$1,043,791 "
95097,1995,Massachusetts Inst. of Technology (MIT),MA,65,13,"$4,800,000 "
95114,1995,New England Deaconess Hospital,MA,2,1,"$120,000 "
95115,1995,New England Medical Center,MA,7,0,"$383,000 "
95175,1995,Tufts University,MA,7,1,"$128,547 "
95213,1995,Univ. of Massachusetts Medical Center,MA,3,1,"$213,665 "
95214,1995,Univ. of Massachusetts/Amherst,MA,8,0,"$154,569 "
95280,1995,Woods Hole Oceanographic Inst.,MA,1,0,"$30,700 "
95017,1996,Brigham & Women's Hospital,MA,24,5,"$3,477,229 "
95034,1996,Children's Hospital Boston,MA,14,1,"$1,268,586 "
95070,1996,Harvard University,MA,57,3,"$7,641,826 "
95096,1996,Massachusetts General Hospital,MA,33,0,"$1,269,581 "
95097,1996,Massachusetts Inst. of Technology (MIT),MA,77,6,"$10,082,654 "
95115,1996,New England Medical Center,MA,4,1,"$230,993 "
96022,1996,Schepens Eye Research Institute,MA,0,0,"$16,000 "
95175,1996,Tufts University,MA,6,1,"$250,923 "
95213,1996,Univ. of Massachusetts All Campuses,MA,5,2,"$754,000 "
95280,1996,Woods Hole Oceanographic Inst.,MA,2,0,"$43,550 "
95011,1997,Beth Israel Deaconess Medical Ctr.,MA,53,0,"$340,000 "
95016,1997,Brandeis University,MA,5,0,"$80,000 "
95017,1997,Brigham & Women's Hospital,MA,19,2,"$2,730,969 "
95034,1997,Children's Hospital Boston,MA,16,2,"$1,628,719 "
95052,1997,Dana-Farber Cancer Institute,MA,23,0,"$3,244,361 "
95070,1997,Harvard University,MA,67,1,"$16,489,749 "
95096,1997,Massachusetts General Hospital,MA,34,3,"$2,646,335 "
95097,1997,Massachusetts Inst. of Technology (MIT),MA,75,17,"$21,211,295 "
95115,1997,New England Medical Center,MA,5,1,"$352,765 "
96022,1997,Schepens Eye Research Institute,MA,1,0,"$69,487 "
95175,1997,Tufts University,MA,7,2,"$195,164 "
95213,1997,Univ. of Massachusetts All Campuses,MA,6,0,"$829,000 "
95280,1997,Woods Hole Oceanographic Inst.,MA,3,1,"$59,780 "
95011,1998,Beth Israel Deaconess Medical Ctr.,MA,17,2,"$768,821 "
95014,1998,Boston University,MA,17,3,"$937,948 "
95016,1998,Brandeis University,MA,6,1,"$135,967 "
95017,1998,Brigham & Women's Hospital,MA,17,1,"$3,295,560 "
95034,1998,Children's Hospital Boston,MA,14,2,"$1,823,362 "
95052,1998,Dana-Farber Cancer Institute,MA,24,0,"$2,001,119 "
95070,1998,Harvard University,MA,44,0,"$12,089,841 "
95096,1998,Massachusetts General Hospital,MA,39,3,"$1,762,962 "
95097,1998,Massachusetts Inst. of Technology (MIT),MA,95,19,"$18,614,834 "
96022,1998,Schepens Eye Research Institute,MA,1,1,"$119,091 "
96039,1998,St. Elizabeth's Medical Center of Boston,MA,2,1,$0 
95213,1998,Univ. of Massachusetts All Campuses,MA,16,2,"$2,014,000 "
95280,1998,Woods Hole Oceanographic Inst.,MA,0,0,"$61,790 "
95011,1999,Beth Israel Deaconess Medical Ctr.,MA,21,3,"$1,234,883 "
95014,1999,Boston University,MA,17,7,"$348,517 "
95016,1999,Brandeis University,MA,6,3,"$120,126 "
95017,1999,Brigham & Women's Hospital,MA,28,4,"$3,164,055 "
95034,1999,Children's Hospital Boston,MA,13,1,"$3,124,386 "
95052,1999,Dana-Farber Cancer Institute,MA,21,0,"$2,328,083 "
95070,1999,Harvard University,MA,48,2,"$13,525,519 "
95096,1999,Massachusetts General Hospital,MA,40,4,"$6,630,476 "
95097,1999,Massachusetts Inst. of Technology (MIT),MA,95,17,"$17,069,061 "
96022,1999,Schepens Eye Research Institute,MA,0,0,"$125,375 "
96039,1999,St. Elizabeth's Medical Center of Boston,MA,3,0,$0 
95175,1999,Tufts University,MA,12,0,"$664,060 "
95213,1999,Univ. of Massachusetts All Campuses,MA,19,2,"$4,105,000 "
95257,1999,Univ. of Vermont,MA,6,0,"$338,000 "
95280,1999,Woods Hole Oceanographic Inst.,MA,0,0,"$118,300 "
95011,2000,Beth Israel Deaconess Medical Ctr.,MA,26,3,"$3,638,103 "
95014,2000,Boston University,MA,18,5,"$901,359 "
95016,2000,Brandeis University,MA,2,0,"$217,507 "
95017,2000,Brigham & Women's Hospital,MA,21,1,"$7,425,374 "
95034,2000,Children's Hospital Boston,MA,32,4,"$2,958,148 "
95052,2000,Dana-Farber Cancer Institute,MA,22,1,"$3,033,113 "
95070,2000,Harvard University,MA,70,1,"$16,541,234 "
95096,2000,Massachusetts General Hospital,MA,36,4,"$16,342,042 "
95097,2000,Massachusetts Inst. of Technology (MIT),MA,102,31,"$31,479,921 "
95125,2000,Northeastern University,MA,3,0,"$443,682 "
96022,2000,Schepens Eye Research Institute,MA,2,0,"$218,722 "
96039,2000,St. Elizabeth's Medical Center of Boston,MA,1,0,$1 
95175,2000,Tufts University,MA,15,2,"$804,610 "
95257,2000,Univ. of Vermont,MA,2,0,"$228,000 "
